,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
Gm32630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnmal2,3.529,1.512,3.164,2.47,3.599,1.815,1.425,2.383,3.085,3.024,1.552,2.252,2.277,3.454,1.452,1.707,2.365,4.297
Pnmal1,1.153,0.623,0.858,0.915,0.845,1.226,0.853,1.189,1.539,0.815,0.679,0.957,1.373,1.602,0.427,0.452,1.073,1.203
Gm42372,0.81,0.249,0.382,0.54,0.289,0.636,0.333,0.274,0.351,0.501,0.245,0.384,0.406,0.414,0.263,0.322,0.527,0.171
Ccdc8,2.061,1.79,1.31,1.876,2.558,1.57,1.551,1.321,2.353,5.484,1.559,1.405,1.003,1.934,1.339,1.593,1.377,1.303
Ppp5c,68.976,56.663,26.288,36.719,42.87,67.657,59.8,47.54,54.227,74.71,50.977,53.485,54.914,65.316,63.168,60.118,68.974,62.056
Hif3a,3.069,1.262,1.306,3.325,1.66,2.272,1.107,2.987,3.738,2.678,1.253,1.365,0.819,2.906,1.767,2.376,2.454,2.264
Psg16,0.015,0.045,0.039,0.05,0.034,0.234,0.06,0.037,0.102,0.064,0.083,0.023,0.16,0.02,0.059,0.019,0.079,0
Ceacam3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0
Psg29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm32772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42373,0,0,0,0.023,0,0.032,0,0,0,0,0.025,0,0.061,0.029,0,0,0,0
Gm32846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psg-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam11,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam13,3.328,3.789,0.075,0.716,0.964,2.195,3.007,0.949,0.857,1.593,0.191,1.735,1.744,1.159,0.448,0.934,0.454,1.037
Ceacam12,0.985,1.331,2.79,4.23,3.836,0.106,0.901,4.082,4.741,0.277,0,3.675,1.659,1.519,0.78,2.898,5.399,4.97
Igfl3,0,0,0.231,0,0,0,0,0,0,0.484,0,0,0,0,0,0,0.346,0
Mill1,0.089,0,0,0,0,0,0,0,0,0.042,0.034,0.045,0,0,0.121,0,0,0
Gm33626,0,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,0,0.215,0
Psg18,0.076,0,0.15,0,0.418,0,0,0.344,0.128,0,0.059,0.285,0.07,0,0,0,0.408,0.132
Psg28,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0
Psg26,0.034,0,0,0,0,0,0,0.047,0.05,0,0,0,0.054,0,0,0,0,0
Psg25,0,0.066,0.038,0,0.051,0.061,0.058,0,0,0,0,0.067,0.06,0.029,0,0.056,0.057,0
Psg27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psg23,0.031,0,0.083,0,0,0,0,0.073,0.154,0,0,0,0,0,0,0,0,0
Psg21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psg20,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0
Psg22,0.299,0,0.036,0.039,0.299,0,0.215,0.048,0.1,4.071,0,0,0.055,0.053,0,3.15,0.438,0.099
Sycp1-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psg19,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0
Psg17,0.366,0.343,0,0.034,0.038,0.464,0.044,0.039,0.204,0.377,0.299,0.051,0,0.258,0.259,0.212,0.26,0
Gm36044,0.068,0.05,0,0,0.039,0.143,0,0,0,0.145,0.038,0.052,0,0,0,0.087,0,0
Mill2,2.201,5.126,1.331,1.651,2.62,4.151,2.591,1.869,3.358,2.356,1.975,2.901,2.617,2.462,3.543,0.984,1.43,2.471
Pglyrp1,483.719,287.379,326.727,281.786,263.845,213.54,564.754,191.505,297.325,577.926,238.725,248.451,297.452,303.908,335.392,689.999,457.71,245.765
Ccdc61,10.683,8.491,5.747,7.919,7.379,10.153,7.676,8.303,8.97,12.485,9.634,9.5,8.33,9.752,9.16,7.243,10.031,8.882
Nova2,0.369,0.242,0.249,0.375,0.34,0.276,0.279,0.372,0.505,1.299,0.226,0.322,0.175,0.541,0.376,0.388,0.506,0.318
Gm38952,0.342,0.451,0.307,0.09,0.3,0.903,1.126,0.938,1.053,0.853,0.599,0.822,1.432,0.678,0.302,0.96,0.6,0.806
Nanos2,0.099,0,0,0.052,0.059,0.138,0,0,0,0,0.057,0,0.066,0,0,0.127,0,0
Mypop,1.823,1.471,1.784,1.254,2.14,1.892,1.376,1.536,2.735,4.064,1.867,2.068,1.498,1.692,2.289,1.41,1.609,1.02
